"Población de 16 y más años ocupada de la C.A. de Euskadi por ámbitos territoriales, rama de actividad y periodo"

"ámbitos territoriales";"rama de actividad";"periodo";Población de 16 y más años ocupada de la C.A. de Euskadi
"Armiñón";"Construcción";"1996";4
"Armiñón";"Construcción";"2001";6
"Armiñón";"Construcción";"2006";5
"Armiñón";"Construcción";"2011";11
"Armiñón";"Construcción";"2016";6
"Armiñón";"Comercio y reparación";"1996";3
"Armiñón";"Comercio y reparación";"2001";6
"Armiñón";"Comercio y reparación";"2006";7
"Armiñón";"Comercio y reparación";"2011";13
"Armiñón";"Comercio y reparación";"2016";11
"Armiñón";"Hostelería";"1996";1
"Armiñón";"Hostelería";"2001";5
"Armiñón";"Hostelería";"2006";5
"Armiñón";"Hostelería";"2011";4
"Armiñón";"Hostelería";"2016";11
"Armiñón";"Transporte, almacenamiento y comunicaciones";"1996";6
"Armiñón";"Transporte, almacenamiento y comunicaciones";"2001";2
"Armiñón";"Transporte, almacenamiento y comunicaciones";"2006";4
"Armiñón";"Transporte, almacenamiento y comunicaciones";"2011";10
"Armiñón";"Transporte, almacenamiento y comunicaciones";"2016";12
"Armiñón";"Intermediación financiera";"1996";2
"Armiñón";"Intermediación financiera";"2001";1
"Armiñón";"Intermediación financiera";"2006";1
"Armiñón";"Intermediación financiera";"2011";1
"Armiñón";"Intermediación financiera";"2016";1
"Armiñón";"Alquiler, inmobiliarias y servicios a empresas";"1996";3
"Armiñón";"Alquiler, inmobiliarias y servicios a empresas";"2001";6
"Armiñón";"Alquiler, inmobiliarias y servicios a empresas";"2006";6
"Armiñón";"Alquiler, inmobiliarias y servicios a empresas";"2011";4
"Armiñón";"Alquiler, inmobiliarias y servicios a empresas";"2016";14
"Armiñón";"Administración pública";"1996";3
"Armiñón";"Administración pública";"2001";6
"Armiñón";"Administración pública";"2006";1
"Armiñón";"Administración pública";"2011";3
"Armiñón";"Administración pública";"2016";2
"Armiñón";"Educación";"1996";1
"Armiñón";"Educación";"2001";0
"Armiñón";"Educación";"2006";0
"Armiñón";"Educación";"2011";2
"Armiñón";"Educación";"2016";2
"Armiñón";"Actividades sanitarias y veterinarias;servicios sociales";"1996";2
"Armiñón";"Actividades sanitarias y veterinarias;servicios sociales";"2001";3
"Armiñón";"Actividades sanitarias y veterinarias;servicios sociales";"2006";3
"Armiñón";"Actividades sanitarias y veterinarias;servicios sociales";"2011";5
"Armiñón";"Actividades sanitarias y veterinarias;servicios sociales";"2016";7
"Armiñón";"Otras actividades sociales y servicios personales";"1996";1
"Armiñón";"Otras actividades sociales y servicios personales";"2001";1
"Armiñón";"Otras actividades sociales y servicios personales";"2006";1
"Armiñón";"Otras actividades sociales y servicios personales";"2011";3
"Armiñón";"Otras actividades sociales y servicios personales";"2016";1
"Armiñón";"Hogares que emplean personal doméstico";"1996";0
"Armiñón";"Hogares que emplean personal doméstico";"2001";1
"Armiñón";"Hogares que emplean personal doméstico";"2006";0
"Armiñón";"Hogares que emplean personal doméstico";"2011";2
"Armiñón";"Hogares que emplean personal doméstico";"2016";0
"Armiñón";"Organismos extraterritoriales";"1996";0
"Armiñón";"Organismos extraterritoriales";"2001";0
"Armiñón";"Organismos extraterritoriales";"2006";0
"Armiñón";"Organismos extraterritoriales";"2011";0
"Armiñón";"Organismos extraterritoriales";"2016";0
"Arraia-Maeztu";"Total";"1996";277
"Arraia-Maeztu";"Total";"2001";335
"Arraia-Maeztu";"Total";"2006";337
"Arraia-Maeztu";"Total";"2011";354
"Arraia-Maeztu";"Total";"2016";330
"Arraia-Maeztu";"Agricultura, ganadería, caza, silvicultura";"1996";74
"Arraia-Maeztu";"Agricultura, ganadería, caza, silvicultura";"2001";67
"Arraia-Maeztu";"Agricultura, ganadería, caza, silvicultura";"2006";33
"Arraia-Maeztu";"Agricultura, ganadería, caza, silvicultura";"2011";29
"Arraia-Maeztu";"Agricultura, ganadería, caza, silvicultura";"2016";34
"Arraia-Maeztu";"Pesca, acuicultura";"1996";0
"Arraia-Maeztu";"Pesca, acuicultura";"2001";0
"Arraia-Maeztu";"Pesca, acuicultura";"2006";1
"Arraia-Maeztu";"Pesca, acuicultura";"2011";0
"Arraia-Maeztu";"Pesca, acuicultura";"2016";0
"Arraia-Maeztu";"Industrias extractivas";"1996";14
"Arraia-Maeztu";"Industrias extractivas";"2001";14
"Arraia-Maeztu";"Industrias extractivas";"2006";11
"Arraia-Maeztu";"Industrias extractivas";"2011";6
"Arraia-Maeztu";"Industrias extractivas";"2016";6
"Arraia-Maeztu";"Industria manufacturera";"1996";76
"Arraia-Maeztu";"Industria manufacturera";"2001";91
"Arraia-Maeztu";"Industria manufacturera";"2006";105
"Arraia-Maeztu";"Industria manufacturera";"2011";79
"Arraia-Maeztu";"Industria manufacturera";"2016";73
"Arraia-Maeztu";"Producción y distribución de energía electrica, gas y agua";"1996";1
"Arraia-Maeztu";"Producción y distribución de energía electrica, gas y agua";"2001";0
"Arraia-Maeztu";"Producción y distribución de energía electrica, gas y agua";"2006";0
"Arraia-Maeztu";"Producción y distribución de energía electrica, gas y agua";"2011";5
"Arraia-Maeztu";"Producción y distribución de energía electrica, gas y agua";"2016";2
"Arraia-Maeztu";"Construcción";"1996";18
"Arraia-Maeztu";"Construcción";"2001";38
"Arraia-Maeztu";"Construcción";"2006";32
"Arraia-Maeztu";"Construcción";"2011";28
"Arraia-Maeztu";"Construcción";"2016";15
"Arraia-Maeztu";"Comercio y reparación";"1996";16
"Arraia-Maeztu";"Comercio y reparación";"2001";24
"Arraia-Maeztu";"Comercio y reparación";"2006";32
"Arraia-Maeztu";"Comercio y reparación";"2011";47
"Arraia-Maeztu";"Comercio y reparación";"2016";36
"Arraia-Maeztu";"Hostelería";"1996";12
"Arraia-Maeztu";"Hostelería";"2001";17
"Arraia-Maeztu";"Hostelería";"2006";28
"Arraia-Maeztu";"Hostelería";"2011";32
"Arraia-Maeztu";"Hostelería";"2016";14
"Arraia-Maeztu";"Transporte, almacenamiento y comunicaciones";"1996";13
"Arraia-Maeztu";"Transporte, almacenamiento y comunicaciones";"2001";16
"Arraia-Maeztu";"Transporte, almacenamiento y comunicaciones";"2006";12
"Arraia-Maeztu";"Transporte, almacenamiento y comunicaciones";"2011";14
"Arraia-Maeztu";"Transporte, almacenamiento y comunicaciones";"2016";20
"Arraia-Maeztu";"Intermediación financiera";"1996";1
"Arraia-Maeztu";"Intermediación financiera";"2001";3
"Arraia-Maeztu";"Intermediación financiera";"2006";1
"Arraia-Maeztu";"Intermediación financiera";"2011";2
"Arraia-Maeztu";"Intermediación financiera";"2016";3
"Arraia-Maeztu";"Alquiler, inmobiliarias y servicios a empresas";"1996";6
"Arraia-Maeztu";"Alquiler, inmobiliarias y servicios a empresas";"2001";8
"Arraia-Maeztu";"Alquiler, inmobiliarias y servicios a empresas";"2006";23
"Arraia-Maeztu";"Alquiler, inmobiliarias y servicios a empresas";"2011";31
"Arraia-Maeztu";"Alquiler, inmobiliarias y servicios a empresas";"2016";42
"Arraia-Maeztu";"Administración pública";"1996";16
"Arraia-Maeztu";"Administración pública";"2001";21
"Arraia-Maeztu";"Administración pública";"2006";20
"Arraia-Maeztu";"Administración pública";"2011";23
"Arraia-Maeztu";"Administración pública";"2016";26
"Arraia-Maeztu";"Educación";"1996";13
"Arraia-Maeztu";"Educación";"2001";15
"Arraia-Maeztu";"Educación";"2006";14
"Arraia-Maeztu";"Educación";"2011";22
"Arraia-Maeztu";"Educación";"2016";21
"Arraia-Maeztu";"Actividades sanitarias y veterinarias;servicios sociales";"1996";4
"Arraia-Maeztu";"Actividades sanitarias y veterinarias;servicios sociales";"2001";13
"Arraia-Maeztu";"Actividades sanitarias y veterinarias;servicios sociales";"2006";12
"Arraia-Maeztu";"Actividades sanitarias y veterinarias;servicios sociales";"2011";15
"Arraia-Maeztu";"Actividades sanitarias y veterinarias;servicios sociales";"2016";20
"Arraia-Maeztu";"Otras actividades sociales y servicios personales";"1996";12
"Arraia-Maeztu";"Otras actividades sociales y servicios personales";"2001";7
"Arraia-Maeztu";"Otras actividades sociales y servicios personales";"2006";12
"Arraia-Maeztu";"Otras actividades sociales y servicios personales";"2011";20
"Arraia-Maeztu";"Otras actividades sociales y servicios personales";"2016";15
"Arraia-Maeztu";"Hogares que emplean personal doméstico";"1996";1
"Arraia-Maeztu";"Hogares que emplean personal doméstico";"2001";1
"Arraia-Maeztu";"Hogares que emplean personal doméstico";"2006";1
"Arraia-Maeztu";"Hogares que emplean personal doméstico";"2011";1
"Arraia-Maeztu";"Hogares que emplean personal doméstico";"2016";3
"Arraia-Maeztu";"Organismos extraterritoriales";"1996";0
"Arraia-Maeztu";"Organismos extraterritoriales";"2001";0
"Arraia-Maeztu";"Organismos extraterritoriales";"2006";0
"Arraia-Maeztu";"Organismos extraterritoriales";"2011";0
"Arraia-Maeztu";"Organismos extraterritoriales";"2016";0
"Arrankudiaga";"Total";"1996";242
"Arrankudiaga";"Total";"2001";305
"Arrankudiaga";"Total";"2006";372
"Arrankudiaga";"Total";"2011";438
"Arrankudiaga";"Total";"2016";445
"Arrankudiaga";"Agricultura, ganadería, caza, silvicultura";"1996";5
"Arrankudiaga";"Agricultura, ganadería, caza, silvicultura";"2001";5
"Arrankudiaga";"Agricultura, ganadería, caza, silvicultura";"2006";7
"Arrankudiaga";"Agricultura, ganadería, caza, silvicultura";"2011";6
"Arrankudiaga";"Agricultura, ganadería, caza, silvicultura";"2016";12
"Arrankudiaga";"Pesca, acuicultura";"1996";0
"Arrankudiaga";"Pesca, acuicultura";"2001";2
"Arrankudiaga";"Pesca, acuicultura";"2006";1
"Arrankudiaga";"Pesca, acuicultura";"2011";0
"Arrankudiaga";"Pesca, acuicultura";"2016";0
"Arrankudiaga";"Industrias extractivas";"1996";0
"Arrankudiaga";"Industrias extractivas";"2001";0
"Arrankudiaga";"Industrias extractivas";"2006";0
"Arrankudiaga";"Industrias extractivas";"2011";0
"Arrankudiaga";"Industrias extractivas";"2016";0
"Arrankudiaga";"Industria manufacturera";"1996";81
"Arrankudiaga";"Industria manufacturera";"2001";77
"Arrankudiaga";"Industria manufacturera";"2006";77
"Arrankudiaga";"Industria manufacturera";"2011";62
"Arrankudiaga";"Industria manufacturera";"2016";79
"Arrankudiaga";"Producción y distribución de energía electrica, gas y agua";"1996";2
"Arrankudiaga";"Producción y distribución de energía electrica, gas y agua";"2001";1
"Arrankudiaga";"Producción y distribución de energía electrica, gas y agua";"2006";0
"Arrankudiaga";"Producción y distribución de energía electrica, gas y agua";"2011";3
"Arrankudiaga";"Producción y distribución de energía electrica, gas y agua";"2016";3
"Arrankudiaga";"Construcción";"1996";28
"Arrankudiaga";"Construcción";"2001";42
"Arrankudiaga";"Construcción";"2006";49
"Arrankudiaga";"Construcción";"2011";49
"Arrankudiaga";"Construcción";"2016";25
"Arrankudiaga";"Comercio y reparación";"1996";30
"Arrankudiaga";"Comercio y reparación";"2001";26
"Arrankudiaga";"Comercio y reparación";"2006";51
"Arrankudiaga";"Comercio y reparación";"2011";64
"Arrankudiaga";"Comercio y reparación";"2016";67
"Arrankudiaga";"Hostelería";"1996";4
"Arrankudiaga";"Hostelería";"2001";13
"Arrankudiaga";"Hostelería";"2006";16
"Arrankudiaga";"Hostelería";"2011";33
"Arrankudiaga";"Hostelería";"2016";27
"Arrankudiaga";"Transporte, almacenamiento y comunicaciones";"1996";15
"Arrankudiaga";"Transporte, almacenamiento y comunicaciones";"2001";26
"Arrankudiaga";"Transporte, almacenamiento y comunicaciones";"2006";23
"Arrankudiaga";"Transporte, almacenamiento y comunicaciones";"2011";33
"Arrankudiaga";"Transporte, almacenamiento y comunicaciones";"2016";34
"Arrankudiaga";"Intermediación financiera";"1996";8
"Arrankudiaga";"Intermediación financiera";"2001";7
"Arrankudiaga";"Intermediación financiera";"2006";8
"Arrankudiaga";"Intermediación financiera";"2011";8
"Arrankudiaga";"Intermediación financiera";"2016";8
"Arrankudiaga";"Alquiler, inmobiliarias y servicios a empresas";"1996";13
"Arrankudiaga";"Alquiler, inmobiliarias y servicios a empresas";"2001";22
"Arrankudiaga";"Alquiler, inmobiliarias y servicios a empresas";"2006";31
"Arrankudiaga";"Alquiler, inmobiliarias y servicios a empresas";"2011";46
"Arrankudiaga";"Alquiler, inmobiliarias y servicios a empresas";"2016";43
"Arrankudiaga";"Administración pública";"1996";6
"Arrankudiaga";"Administración pública";"2001";26
"Arrankudiaga";"Administración pública";"2006";35
"Arrankudiaga";"Administración pública";"2011";43
"Arrankudiaga";"Administración pública";"2016";51
"Arrankudiaga";"Educación";"1996";19
"Arrankudiaga";"Educación";"2001";20
"Arrankudiaga";"Educación";"2006";23
"Arrankudiaga";"Educación";"2011";35
"Arrankudiaga";"Educación";"2016";41
"Arrankudiaga";"Actividades sanitarias y veterinarias;servicios sociales";"1996";16
"Arrankudiaga";"Actividades sanitarias y veterinarias;servicios sociales";"2001";28
"Arrankudiaga";"Actividades sanitarias y veterinarias;servicios sociales";"2006";29
"Arrankudiaga";"Actividades sanitarias y veterinarias;servicios sociales";"2011";31
"Arrankudiaga";"Actividades sanitarias y veterinarias;servicios sociales";"2016";26
"Arrankudiaga";"Otras actividades sociales y servicios personales";"1996";14
"Arrankudiaga";"Otras actividades sociales y servicios personales";"2001";4
"Arrankudiaga";"Otras actividades sociales y servicios personales";"2006";17
"Arrankudiaga";"Otras actividades sociales y servicios personales";"2011";20
"Arrankudiaga";"Otras actividades sociales y servicios personales";"2016";23
"Arrankudiaga";"Hogares que emplean personal doméstico";"1996";1
"Arrankudiaga";"Hogares que emplean personal doméstico";"2001";6
"Arrankudiaga";"Hogares que emplean personal doméstico";"2006";5
"Arrankudiaga";"Hogares que emplean personal doméstico";"2011";5
"Arrankudiaga";"Hogares que emplean personal doméstico";"2016";6
"Arrankudiaga";"Organismos extraterritoriales";"1996";0
"Arrankudiaga";"Organismos extraterritoriales";"2001";0
"Arrankudiaga";"Organismos extraterritoriales";"2006";0
"Arrankudiaga";"Organismos extraterritoriales";"2011";0
"Arrankudiaga";"Organismos extraterritoriales";"2016";0
"Arrasate/Mondragón";"Total";"1996";9165
"Arrasate/Mondragón";"Total";"2001";10608
"Arrasate/Mondragón";"Total";"2006";10108
"Arrasate/Mondragón";"Total";"2011";9037
"Arrasate/Mondragón";"Total";"2016";8932
"Arrasate/Mondragón";"Agricultura, ganadería, caza, silvicultura";"1996";30
"Arrasate/Mondragón";"Agricultura, ganadería, caza, silvicultura";"2001";56
"Arrasate/Mondragón";"Agricultura, ganadería, caza, silvicultura";"2006";29
"Arrasate/Mondragón";"Agricultura, ganadería, caza, silvicultura";"2011";35
"Arrasate/Mondragón";"Agricultura, ganadería, caza, silvicultura";"2016";33
"Arrasate/Mondragón";"Pesca, acuicultura";"1996";5
"Arrasate/Mondragón";"Pesca, acuicultura";"2001";7
"Arrasate/Mondragón";"Pesca, acuicultura";"2006";5
"Arrasate/Mondragón";"Pesca, acuicultura";"2011";1
"Arrasate/Mondragón";"Pesca, acuicultura";"2016";3
"Arrasate/Mondragón";"Industrias extractivas";"1996";21
"Arrasate/Mondragón";"Industrias extractivas";"2001";15
"Arrasate/Mondragón";"Industrias extractivas";"2006";18
"Arrasate/Mondragón";"Industrias extractivas";"2011";12
"Arrasate/Mondragón";"Industrias extractivas";"2016";5
"Arrasate/Mondragón";"Industria manufacturera";"1996";4856
"Arrasate/Mondragón";"Industria manufacturera";"2001";5556
"Arrasate/Mondragón";"Industria manufacturera";"2006";4925
"Arrasate/Mondragón";"Industria manufacturera";"2011";3487
"Arrasate/Mondragón";"Industria manufacturera";"2016";3015
"Arrasate/Mondragón";"Producción y distribución de energía electrica, gas y agua";"1996";52
"Arrasate/Mondragón";"Producción y distribución de energía electrica, gas y agua";"2001";17
"Arrasate/Mondragón";"Producción y distribución de energía electrica, gas y agua";"2006";12
"Arrasate/Mondragón";"Producción y distribución de energía electrica, gas y agua";"2011";36
"Arrasate/Mondragón";"Producción y distribución de energía electrica, gas y agua";"2016";27
"Arrasate/Mondragón";"Construcción";"1996";378
"Arrasate/Mondragón";"Construcción";"2001";571
"Arrasate/Mondragón";"Construcción";"2006";540
"Arrasate/Mondragón";"Construcción";"2011";429
"Arrasate/Mondragón";"Construcción";"2016";279
"Arrasate/Mondragón";"Comercio y reparación";"1996";756
"Arrasate/Mondragón";"Comercio y reparación";"2001";935
"Arrasate/Mondragón";"Comercio y reparación";"2006";948
"Arrasate/Mondragón";"Comercio y reparación";"2011";959
"Arrasate/Mondragón";"Comercio y reparación";"2016";936
"Arrasate/Mondragón";"Hostelería";"1996";287
"Arrasate/Mondragón";"Hostelería";"2001";436
"Arrasate/Mondragón";"Hostelería";"2006";501
"Arrasate/Mondragón";"Hostelería";"2011";597
"Arrasate/Mondragón";"Hostelería";"2016";317
"Arrasate/Mondragón";"Transporte, almacenamiento y comunicaciones";"1996";238
"Arrasate/Mondragón";"Transporte, almacenamiento y comunicaciones";"2001";274
"Arrasate/Mondragón";"Transporte, almacenamiento y comunicaciones";"2006";225
"Arrasate/Mondragón";"Transporte, almacenamiento y comunicaciones";"2011";333
"Arrasate/Mondragón";"Transporte, almacenamiento y comunicaciones";"2016";580
"Arrasate/Mondragón";"Intermediación financiera";"1996";365
"Arrasate/Mondragón";"Intermediación financiera";"2001";324
"Arrasate/Mondragón";"Intermediación financiera";"2006";313
"Arrasate/Mondragón";"Intermediación financiera";"2011";270
"Arrasate/Mondragón";"Intermediación financiera";"2016";389
"Arrasate/Mondragón";"Alquiler, inmobiliarias y servicios a empresas";"1996";541
"Arrasate/Mondragón";"Alquiler, inmobiliarias y servicios a empresas";"2001";625
"Arrasate/Mondragón";"Alquiler, inmobiliarias y servicios a empresas";"2006";817
"Arrasate/Mondragón";"Alquiler, inmobiliarias y servicios a empresas";"2011";886
"Arrasate/Mondragón";"Alquiler, inmobiliarias y servicios a empresas";"2016";1149
"Arrasate/Mondragón";"Administración pública";"1996";278
"Arrasate/Mondragón";"Administración pública";"2001";273
"Arrasate/Mondragón";"Administración pública";"2006";258
"Arrasate/Mondragón";"Administración pública";"2011";250
"Arrasate/Mondragón";"Administración pública";"2016";272
"Arrasate/Mondragón";"Educación";"1996";613
"Arrasate/Mondragón";"Educación";"2001";674
"Arrasate/Mondragón";"Educación";"2006";581
"Arrasate/Mondragón";"Educación";"2011";690
"Arrasate/Mondragón";"Educación";"2016";730
"Arrasate/Mondragón";"Actividades sanitarias y veterinarias;servicios sociales";"1996";530
"Arrasate/Mondragón";"Actividades sanitarias y veterinarias;servicios sociales";"2001";577
"Arrasate/Mondragón";"Actividades sanitarias y veterinarias;servicios sociales";"2006";602
"Arrasate/Mondragón";"Actividades sanitarias y veterinarias;servicios sociales";"2011";708
"Arrasate/Mondragón";"Actividades sanitarias y veterinarias;servicios sociales";"2016";742
"Arrasate/Mondragón";"Otras actividades sociales y servicios personales";"1996";194
"Arrasate/Mondragón";"Otras actividades sociales y servicios personales";"2001";163
"Arrasate/Mondragón";"Otras actividades sociales y servicios personales";"2006";238
"Arrasate/Mondragón";"Otras actividades sociales y servicios personales";"2011";260
"Arrasate/Mondragón";"Otras actividades sociales y servicios personales";"2016";248
"Arrasate/Mondragón";"Hogares que emplean personal doméstico";"1996";21
"Arrasate/Mondragón";"Hogares que emplean personal doméstico";"2001";105
"Arrasate/Mondragón";"Hogares que emplean personal doméstico";"2006";96
"Arrasate/Mondragón";"Hogares que emplean personal doméstico";"2011";83
"Arrasate/Mondragón";"Hogares que emplean personal doméstico";"2016";207
"Arrasate/Mondragón";"Organismos extraterritoriales";"1996";0
"Arrasate/Mondragón";"Organismos extraterritoriales";"2001";0
"Arrasate/Mondragón";"Organismos extraterritoriales";"2006";0
"Arrasate/Mondragón";"Organismos extraterritoriales";"2011";1
"Arrasate/Mondragón";"Organismos extraterritoriales";"2016";0
"Arratzu";"Total";"1996";154
"Arratzu";"Total";"2001";160
"Arratzu";"Total";"2006";166
"Arratzu";"Total";"2011";181
"Arratzu";"Total";"2016";186
"Arratzu";"Agricultura, ganadería, caza, silvicultura";"1996";11
"Arratzu";"Agricultura, ganadería, caza, silvicultura";"2001";8
"Arratzu";"Agricultura, ganadería, caza, silvicultura";"2006";3
"Arratzu";"Agricultura, ganadería, caza, silvicultura";"2011";6
"Arratzu";"Agricultura, ganadería, caza, silvicultura";"2016";7
"Arratzu";"Pesca, acuicultura";"1996";0
"Arratzu";"Pesca, acuicultura";"2001";0
"Arratzu";"Pesca, acuicultura";"2006";0
"Arratzu";"Pesca, acuicultura";"2011";0
"Arratzu";"Pesca, acuicultura";"2016";0
"Arratzu";"Industrias extractivas";"1996";0
"Arratzu";"Industrias extractivas";"2001";0
"Arratzu";"Industrias extractivas";"2006";0
"Arratzu";"Industrias extractivas";"2011";0
"Arratzu";"Industrias extractivas";"2016";0
"Arratzu";"Industria manufacturera";"1996";55
"Arratzu";"Industria manufacturera";"2001";47
"Arratzu";"Industria manufacturera";"2006";44
"Arratzu";"Industria manufacturera";"2011";50
"Arratzu";"Industria manufacturera";"2016";48
"Arratzu";"Producción y distribución de energía electrica, gas y agua";"1996";2
"Arratzu";"Producción y distribución de energía electrica, gas y agua";"2001";1
"Arratzu";"Producción y distribución de energía electrica, gas y agua";"2006";2
"Arratzu";"Producción y distribución de energía electrica, gas y agua";"2011";2
"Arratzu";"Producción y distribución de energía electrica, gas y agua";"2016";3
"Arratzu";"Construcción";"1996";8
"Arratzu";"Construcción";"2001";13
"Arratzu";"Construcción";"2006";15
"Arratzu";"Construcción";"2011";13
"Arratzu";"Construcción";"2016";11
"Arratzu";"Comercio y reparación";"1996";18
"Arratzu";"Comercio y reparación";"2001";26
"Arratzu";"Comercio y reparación";"2006";30
"Arratzu";"Comercio y reparación";"2011";22
"Arratzu";"Comercio y reparación";"2016";20
"Arratzu";"Hostelería";"1996";5
"Arratzu";"Hostelería";"2001";7
"Arratzu";"Hostelería";"2006";5
"Arratzu";"Hostelería";"2011";7
"Arratzu";"Hostelería";"2016";6
"Arratzu";"Transporte, almacenamiento y comunicaciones";"1996";11
"Arratzu";"Transporte, almacenamiento y comunicaciones";"2001";8
"Arratzu";"Transporte, almacenamiento y comunicaciones";"2006";8
"Arratzu";"Transporte, almacenamiento y comunicaciones";"2011";14
"Arratzu";"Transporte, almacenamiento y comunicaciones";"2016";7
"Arratzu";"Intermediación financiera";"1996";4
"Arratzu";"Intermediación financiera";"2001";4
"Arratzu";"Intermediación financiera";"2006";5
"Arratzu";"Intermediación financiera";"2011";2
"Arratzu";"Intermediación financiera";"2016";4
"Arratzu";"Alquiler, inmobiliarias y servicios a empresas";"1996";11
"Arratzu";"Alquiler, inmobiliarias y servicios a empresas";"2001";12
"Arratzu";"Alquiler, inmobiliarias y servicios a empresas";"2006";21
"Arratzu";"Alquiler, inmobiliarias y servicios a empresas";"2011";17
"Arratzu";"Alquiler, inmobiliarias y servicios a empresas";"2016";15
"Arratzu";"Administración pública";"1996";7
"Arratzu";"Administración pública";"2001";6
"Arratzu";"Administración pública";"2006";5
"Arratzu";"Administración pública";"2011";6
"Arratzu";"Administración pública";"2016";11
"Arratzu";"Educación";"1996";15
"Arratzu";"Educación";"2001";17
"Arratzu";"Educación";"2006";19
"Arratzu";"Educación";"2011";30
"Arratzu";"Educación";"2016";37
"Arratzu";"Actividades sanitarias y veterinarias;servicios sociales";"1996";5
"Arratzu";"Actividades sanitarias y veterinarias;servicios sociales";"2001";5
"Arratzu";"Actividades sanitarias y veterinarias;servicios sociales";"2006";2
"Arratzu";"Actividades sanitarias y veterinarias;servicios sociales";"2011";5
"Arratzu";"Actividades sanitarias y veterinarias;servicios sociales";"2016";9
"Arratzu";"Otras actividades sociales y servicios personales";"1996";2
"Arratzu";"Otras actividades sociales y servicios personales";"2001";4
"Arratzu";"Otras actividades sociales y servicios personales";"2006";6
"Arratzu";"Otras actividades sociales y servicios personales";"2011";7
"Arratzu";"Otras actividades sociales y servicios personales";"2016";8
"Arratzu";"Hogares que emplean personal doméstico";"1996";0
"Arratzu";"Hogares que emplean personal doméstico";"2001";2
"Arratzu";"Hogares que emplean personal doméstico";"2006";1
"Arratzu";"Hogares que emplean personal doméstico";"2011";0
"Arratzu";"Hogares que emplean personal doméstico";"2016";0
"Arratzu";"Organismos extraterritoriales";"1996";0
"Arratzu";"Organismos extraterritoriales";"2001";0
"Arratzu";"Organismos extraterritoriales";"2006";0
"Arratzu";"Organismos extraterritoriales";"2011";0
"Arratzu";"Organismos extraterritoriales";"2016";0
"Arratzua-Ubarrundia";"Total";"1996";297
"Arratzua-Ubarrundia";"Total";"2001";357
"Arratzua-Ubarrundia";"Total";"2006";464
"Arratzua-Ubarrundia";"Total";"2011";487
"Arratzua-Ubarrundia";"Total";"2016";510
"Arratzua-Ubarrundia";"Agricultura, ganadería, caza, silvicultura";"1996";44
"Arratzua-Ubarrundia";"Agricultura, ganadería, caza, silvicultura";"2001";39
"Arratzua-Ubarrundia";"Agricultura, ganadería, caza, silvicultura";"2006";20
"Arratzua-Ubarrundia";"Agricultura, ganadería, caza, silvicultura";"2011";26
"Arratzua-Ubarrundia";"Agricultura, ganadería, caza, silvicultura";"2016";24
"Arratzua-Ubarrundia";"Pesca, acuicultura";"1996";1
"Arratzua-Ubarrundia";"Pesca, acuicultura";"2001";0
"Arratzua-Ubarrundia";"Pesca, acuicultura";"2006";0
"Arratzua-Ubarrundia";"Pesca, acuicultura";"2011";0
"Arratzua-Ubarrundia";"Pesca, acuicultura";"2016";0
"Arratzua-Ubarrundia";"Industrias extractivas";"1996";0
"Arratzua-Ubarrundia";"Industrias extractivas";"2001";0
"Arratzua-Ubarrundia";"Industrias extractivas";"2006";2
"Arratzua-Ubarrundia";"Industrias extractivas";"2011";0
"Arratzua-Ubarrundia";"Industrias extractivas";"2016";0
"Arratzua-Ubarrundia";"Industria manufacturera";"1996";79
"Arratzua-Ubarrundia";"Industria manufacturera";"2001";83
"Arratzua-Ubarrundia";"Industria manufacturera";"2006";109
"Arratzua-Ubarrundia";"Industria manufacturera";"2011";109
"Arratzua-Ubarrundia";"Industria manufacturera";"2016";98
"Arratzua-Ubarrundia";"Producción y distribución de energía electrica, gas y agua";"1996";2
"Arratzua-Ubarrundia";"Producción y distribución de energía electrica, gas y agua";"2001";0
"Arratzua-Ubarrundia";"Producción y distribución de energía electrica, gas y agua";"2006";1
"Arratzua-Ubarrundia";"Producción y distribución de energía electrica, gas y agua";"2011";1
"Arratzua-Ubarrundia";"Producción y distribución de energía electrica, gas y agua";"2016";7
"Arratzua-Ubarrundia";"Construcción";"1996";19
"Arratzua-Ubarrundia";"Construcción";"2001";36
"Arratzua-Ubarrundia";"Construcción";"2006";44
"Arratzua-Ubarrundia";"Construcción";"2011";42
"Arratzua-Ubarrundia";"Construcción";"2016";35
"Arratzua-Ubarrundia";"Comercio y reparación";"1996";27
"Arratzua-Ubarrundia";"Comercio y reparación";"2001";41
"Arratzua-Ubarrundia";"Comercio y reparación";"2006";66
"Arratzua-Ubarrundia";"Comercio y reparación";"2011";61
"Arratzua-Ubarrundia";"Comercio y reparación";"2016";53
"Arratzua-Ubarrundia";"Hostelería";"1996";20
"Arratzua-Ubarrundia";"Hostelería";"2001";24
"Arratzua-Ubarrundia";"Hostelería";"2006";21
"Arratzua-Ubarrundia";"Hostelería";"2011";28
"Arratzua-Ubarrundia";"Hostelería";"2016";33
"Arratzua-Ubarrundia";"Transporte, almacenamiento y comunicaciones";"1996";16
"Arratzua-Ubarrundia";"Transporte, almacenamiento y comunicaciones";"2001";23
"Arratzua-Ubarrundia";"Transporte, almacenamiento y comunicaciones";"2006";20
"Arratzua-Ubarrundia";"Transporte, almacenamiento y comunicaciones";"2011";32
"Arratzua-Ubarrundia";"Transporte, almacenamiento y comunicaciones";"2016";30
