"Población de 16 y más años ocupada de la C.A. de Euskadi por ámbitos territoriales, rama de actividad y periodo"

"ámbitos territoriales";"rama de actividad";"periodo";Población de 16 y más años ocupada de la C.A. de Euskadi
"C.A. de Euskadi";"Hogares que emplean personal doméstico";"2016";28131
"C.A. de Euskadi";"Organismos extraterritoriales";"1996";55
"C.A. de Euskadi";"Organismos extraterritoriales";"2001";84
"C.A. de Euskadi";"Organismos extraterritoriales";"2006";87
"C.A. de Euskadi";"Organismos extraterritoriales";"2011";75
"C.A. de Euskadi";"Organismos extraterritoriales";"2016";30
"Araba/Álava";"Total";"1996";102280
"Araba/Álava";"Total";"2001";128834
"Araba/Álava";"Total";"2006";144225
"Araba/Álava";"Total";"2011";137989
"Araba/Álava";"Total";"2016";138308
"Araba/Álava";"Agricultura, ganadería, caza, silvicultura";"1996";3632
"Araba/Álava";"Agricultura, ganadería, caza, silvicultura";"2001";3537
"Araba/Álava";"Agricultura, ganadería, caza, silvicultura";"2006";2068
"Araba/Álava";"Agricultura, ganadería, caza, silvicultura";"2011";2540
"Araba/Álava";"Agricultura, ganadería, caza, silvicultura";"2016";2706
"Araba/Álava";"Pesca, acuicultura";"1996";155
"Araba/Álava";"Pesca, acuicultura";"2001";36
"Araba/Álava";"Pesca, acuicultura";"2006";67
"Araba/Álava";"Pesca, acuicultura";"2011";23
"Araba/Álava";"Pesca, acuicultura";"2016";16
"Araba/Álava";"Industrias extractivas";"1996";120
"Araba/Álava";"Industrias extractivas";"2001";117
"Araba/Álava";"Industrias extractivas";"2006";112
"Araba/Álava";"Industrias extractivas";"2011";86
"Araba/Álava";"Industrias extractivas";"2016";60
"Araba/Álava";"Industria manufacturera";"1996";35388
"Araba/Álava";"Industria manufacturera";"2001";39814
"Araba/Álava";"Industria manufacturera";"2006";38713
"Araba/Álava";"Industria manufacturera";"2011";31095
"Araba/Álava";"Industria manufacturera";"2016";30750
"Araba/Álava";"Producción y distribución de energía electrica, gas y agua";"1996";845
"Araba/Álava";"Producción y distribución de energía electrica, gas y agua";"2001";648
"Araba/Álava";"Producción y distribución de energía electrica, gas y agua";"2006";453
"Araba/Álava";"Producción y distribución de energía electrica, gas y agua";"2011";873
"Araba/Álava";"Producción y distribución de energía electrica, gas y agua";"2016";1492
"Araba/Álava";"Construcción";"1996";6093
"Araba/Álava";"Construcción";"2001";9806
"Araba/Álava";"Construcción";"2006";12399
"Araba/Álava";"Construcción";"2011";9295
"Araba/Álava";"Construcción";"2016";6373
"Araba/Álava";"Comercio y reparación";"1996";11859
"Araba/Álava";"Comercio y reparación";"2001";17171
"Araba/Álava";"Comercio y reparación";"2006";20900
"Araba/Álava";"Comercio y reparación";"2011";19910
"Araba/Álava";"Comercio y reparación";"2016";18131
"Araba/Álava";"Hostelería";"1996";4250
"Araba/Álava";"Hostelería";"2001";5980
"Araba/Álava";"Hostelería";"2006";7837
"Araba/Álava";"Hostelería";"2011";8882
"Araba/Álava";"Hostelería";"2016";8203
"Araba/Álava";"Transporte, almacenamiento y comunicaciones";"1996";5328
"Araba/Álava";"Transporte, almacenamiento y comunicaciones";"2001";6826
"Araba/Álava";"Transporte, almacenamiento y comunicaciones";"2006";6699
"Araba/Álava";"Transporte, almacenamiento y comunicaciones";"2011";8421
"Araba/Álava";"Transporte, almacenamiento y comunicaciones";"2016";8769
"Araba/Álava";"Intermediación financiera";"1996";2545
"Araba/Álava";"Intermediación financiera";"2001";2654
"Araba/Álava";"Intermediación financiera";"2006";3157
"Araba/Álava";"Intermediación financiera";"2011";2727
"Araba/Álava";"Intermediación financiera";"2016";2238
"Araba/Álava";"Alquiler, inmobiliarias y servicios a empresas";"1996";7554
"Araba/Álava";"Alquiler, inmobiliarias y servicios a empresas";"2001";9479
"Araba/Álava";"Alquiler, inmobiliarias y servicios a empresas";"2006";17494
"Araba/Álava";"Alquiler, inmobiliarias y servicios a empresas";"2011";16652
"Araba/Álava";"Alquiler, inmobiliarias y servicios a empresas";"2016";18110
"Araba/Álava";"Administración pública";"1996";7345
"Araba/Álava";"Administración pública";"2001";9600
"Araba/Álava";"Administración pública";"2006";8687
"Araba/Álava";"Administración pública";"2011";9504
"Araba/Álava";"Administración pública";"2016";9930
"Araba/Álava";"Educación";"1996";6584
"Araba/Álava";"Educación";"2001";7708
"Araba/Álava";"Educación";"2006";7478
"Araba/Álava";"Educación";"2011";7901
"Araba/Álava";"Educación";"2016";8987
"Araba/Álava";"Actividades sanitarias y veterinarias;servicios sociales";"1996";6831
"Araba/Álava";"Actividades sanitarias y veterinarias;servicios sociales";"2001";9819
"Araba/Álava";"Actividades sanitarias y veterinarias;servicios sociales";"2006";10897
"Araba/Álava";"Actividades sanitarias y veterinarias;servicios sociales";"2011";12753
"Araba/Álava";"Actividades sanitarias y veterinarias;servicios sociales";"2016";13956
"Araba/Álava";"Otras actividades sociales y servicios personales";"1996";3256
"Araba/Álava";"Otras actividades sociales y servicios personales";"2001";3918
"Araba/Álava";"Otras actividades sociales y servicios personales";"2006";5632
"Araba/Álava";"Otras actividades sociales y servicios personales";"2011";5656
"Araba/Álava";"Otras actividades sociales y servicios personales";"2016";5600
"Araba/Álava";"Hogares que emplean personal doméstico";"1996";492
"Araba/Álava";"Hogares que emplean personal doméstico";"2001";1713
"Araba/Álava";"Hogares que emplean personal doméstico";"2006";1617
"Araba/Álava";"Hogares que emplean personal doméstico";"2011";1661
"Araba/Álava";"Hogares que emplean personal doméstico";"2016";2984
"Araba/Álava";"Organismos extraterritoriales";"1996";3
"Araba/Álava";"Organismos extraterritoriales";"2001";8
"Araba/Álava";"Organismos extraterritoriales";"2006";15
"Araba/Álava";"Organismos extraterritoriales";"2011";10
"Araba/Álava";"Organismos extraterritoriales";"2016";3
"Bizkaia";"Total";"1996";353792
"Bizkaia";"Total";"2001";441967
"Bizkaia";"Total";"2006";498748
"Bizkaia";"Total";"2011";465010
"Bizkaia";"Total";"2016";465777
"Bizkaia";"Agricultura, ganadería, caza, silvicultura";"1996";3401
"Bizkaia";"Agricultura, ganadería, caza, silvicultura";"2001";3829
"Bizkaia";"Agricultura, ganadería, caza, silvicultura";"2006";2943
"Bizkaia";"Agricultura, ganadería, caza, silvicultura";"2011";3027
"Bizkaia";"Agricultura, ganadería, caza, silvicultura";"2016";3098
"Bizkaia";"Pesca, acuicultura";"1996";3433
"Bizkaia";"Pesca, acuicultura";"2001";2844
"Bizkaia";"Pesca, acuicultura";"2006";1745
"Bizkaia";"Pesca, acuicultura";"2011";983
"Bizkaia";"Pesca, acuicultura";"2016";918
"Bizkaia";"Industrias extractivas";"1996";540
"Bizkaia";"Industrias extractivas";"2001";443
"Bizkaia";"Industrias extractivas";"2006";401
"Bizkaia";"Industrias extractivas";"2011";285
"Bizkaia";"Industrias extractivas";"2016";249
"Bizkaia";"Industria manufacturera";"1996";98906
"Bizkaia";"Industria manufacturera";"2001";99698
"Bizkaia";"Industria manufacturera";"2006";97416
"Bizkaia";"Industria manufacturera";"2011";72058
"Bizkaia";"Industria manufacturera";"2016";69974
"Bizkaia";"Producción y distribución de energía electrica, gas y agua";"1996";5420
"Bizkaia";"Producción y distribución de energía electrica, gas y agua";"2001";4323
"Bizkaia";"Producción y distribución de energía electrica, gas y agua";"2006";2886
"Bizkaia";"Producción y distribución de energía electrica, gas y agua";"2011";4425
"Bizkaia";"Producción y distribución de energía electrica, gas y agua";"2016";4124
"Bizkaia";"Construcción";"1996";23692
"Bizkaia";"Construcción";"2001";41002
"Bizkaia";"Construcción";"2006";50213
"Bizkaia";"Construcción";"2011";36969
"Bizkaia";"Construcción";"2016";28224
"Bizkaia";"Comercio y reparación";"1996";46339
"Bizkaia";"Comercio y reparación";"2001";63864
"Bizkaia";"Comercio y reparación";"2006";78910
"Bizkaia";"Comercio y reparación";"2011";74015
"Bizkaia";"Comercio y reparación";"2016";69444
"Bizkaia";"Hostelería";"1996";16869
"Bizkaia";"Hostelería";"2001";23216
"Bizkaia";"Hostelería";"2006";28923
"Bizkaia";"Hostelería";"2011";31174
"Bizkaia";"Hostelería";"2016";35072
"Bizkaia";"Transporte, almacenamiento y comunicaciones";"1996";25923
"Bizkaia";"Transporte, almacenamiento y comunicaciones";"2001";32534
"Bizkaia";"Transporte, almacenamiento y comunicaciones";"2006";29922
"Bizkaia";"Transporte, almacenamiento y comunicaciones";"2011";36431
"Bizkaia";"Transporte, almacenamiento y comunicaciones";"2016";31910
"Bizkaia";"Intermediación financiera";"1996";12505
"Bizkaia";"Intermediación financiera";"2001";13412
"Bizkaia";"Intermediación financiera";"2006";14349
"Bizkaia";"Intermediación financiera";"2011";12338
"Bizkaia";"Intermediación financiera";"2016";11156
"Bizkaia";"Alquiler, inmobiliarias y servicios a empresas";"1996";28670
"Bizkaia";"Alquiler, inmobiliarias y servicios a empresas";"2001";42457
"Bizkaia";"Alquiler, inmobiliarias y servicios a empresas";"2006";69418
"Bizkaia";"Alquiler, inmobiliarias y servicios a empresas";"2011";64878
"Bizkaia";"Alquiler, inmobiliarias y servicios a empresas";"2016";68142
"Bizkaia";"Administración pública";"1996";25147
"Bizkaia";"Administración pública";"2001";27483
"Bizkaia";"Administración pública";"2006";24216
"Bizkaia";"Administración pública";"2011";25586
"Bizkaia";"Administración pública";"2016";25920
"Bizkaia";"Educación";"1996";25754
"Bizkaia";"Educación";"2001";31806
"Bizkaia";"Educación";"2006";31248
"Bizkaia";"Educación";"2011";34377
"Bizkaia";"Educación";"2016";36712
"Bizkaia";"Actividades sanitarias y veterinarias;servicios sociales";"1996";22221
"Bizkaia";"Actividades sanitarias y veterinarias;servicios sociales";"2001";31084
"Bizkaia";"Actividades sanitarias y veterinarias;servicios sociales";"2006";36690
"Bizkaia";"Actividades sanitarias y veterinarias;servicios sociales";"2011";39234
"Bizkaia";"Actividades sanitarias y veterinarias;servicios sociales";"2016";43926
"Bizkaia";"Otras actividades sociales y servicios personales";"1996";12510
"Bizkaia";"Otras actividades sociales y servicios personales";"2001";14809
"Bizkaia";"Otras actividades sociales y servicios personales";"2006";21595
"Bizkaia";"Otras actividades sociales y servicios personales";"2011";20805
"Bizkaia";"Otras actividades sociales y servicios personales";"2016";21002
"Bizkaia";"Hogares que emplean personal doméstico";"1996";2431
"Bizkaia";"Hogares que emplean personal doméstico";"2001";9102
"Bizkaia";"Hogares que emplean personal doméstico";"2006";7824
"Bizkaia";"Hogares que emplean personal doméstico";"2011";8373
"Bizkaia";"Hogares que emplean personal doméstico";"2016";15882
"Bizkaia";"Organismos extraterritoriales";"1996";31
"Bizkaia";"Organismos extraterritoriales";"2001";61
"Bizkaia";"Organismos extraterritoriales";"2006";49
"Bizkaia";"Organismos extraterritoriales";"2011";52
"Bizkaia";"Organismos extraterritoriales";"2016";24
"Gipuzkoa";"Total";"1996";233028
"Gipuzkoa";"Total";"2001";291606
"Gipuzkoa";"Total";"2006";311060
"Gipuzkoa";"Total";"2011";294768
"Gipuzkoa";"Total";"2016";302583
