"Población de la C.A. de Euskadi por ámbitos territoriales, grupos de países por nacionalidad y periodo"

"ámbitos territoriales";"grupos de países por nacionalidad";"periodo";Población de la C.A. de Euskadi
"Araba/Álava";"Total";"2017";323592
"Araba/Álava";"Total";"2018";325518
"Araba/Álava";"Total";"2019";327967
"Araba/Álava";"Total";"2020";330209
"Araba/Álava";"Total";"2021";330189
"Araba/Álava";"España";"2001";279897
"Araba/Álava";"España";"2002";280949
"Araba/Álava";"España";"2003";283139
"Araba/Álava";"España";"2004";283835
"Araba/Álava";"España";"2005";285335
"Araba/Álava";"España";"2006";286272
"Araba/Álava";"España";"2007";287324
"Araba/Álava";"España";"2008";287423
"Araba/Álava";"España";"2009";287529
"Araba/Álava";"España";"2010";288381
"Araba/Álava";"España";"2011";288792
"Araba/Álava";"España";"2012";289535
"Araba/Álava";"España";"2013";289200
"Araba/Álava";"España";"2014";289614
"Araba/Álava";"España";"2015";293774
"Araba/Álava";"España";"2016";294351
"Araba/Álava";"España";"2017";294952
"Araba/Álava";"España";"2018";297296
"Araba/Álava";"España";"2019";297539
"Araba/Álava";"España";"2020";297599
"Araba/Álava";"España";"2021";298202
"Araba/Álava";"Europa del Este";"2001";362
"Araba/Álava";"Europa del Este";"2002";561
"Araba/Álava";"Europa del Este";"2003";841
"Araba/Álava";"Europa del Este";"2004";1126
"Araba/Álava";"Europa del Este";"2005";1402
"Araba/Álava";"Europa del Este";"2006";1760
"Araba/Álava";"Europa del Este";"2007";2183
"Araba/Álava";"Europa del Este";"2008";3068
"Araba/Álava";"Europa del Este";"2009";3463
"Araba/Álava";"Europa del Este";"2010";3642
"Araba/Álava";"Europa del Este";"2011";3551
"Araba/Álava";"Europa del Este";"2012";3818
"Araba/Álava";"Europa del Este";"2013";3586
"Araba/Álava";"Europa del Este";"2014";3519
"Araba/Álava";"Europa del Este";"2015";3559
"Araba/Álava";"Europa del Este";"2016";3549
"Araba/Álava";"Europa del Este";"2017";3596
"Araba/Álava";"Europa del Este";"2018";3692
"Araba/Álava";"Europa del Este";"2019";3860
"Araba/Álava";"Europa del Este";"2020";3887
"Araba/Álava";"Europa del Este";"2021";3720
"Araba/Álava";"Resto de Europa";"2001";1475
"Araba/Álava";"Resto de Europa";"2002";1683
"Araba/Álava";"Resto de Europa";"2003";1668
"Araba/Álava";"Resto de Europa";"2004";1852
"Araba/Álava";"Resto de Europa";"2005";2099
"Araba/Álava";"Resto de Europa";"2006";2460
"Araba/Álava";"Resto de Europa";"2007";2928
"Araba/Álava";"Resto de Europa";"2008";3258
"Araba/Álava";"Resto de Europa";"2009";3362
"Araba/Álava";"Resto de Europa";"2010";3530
"Araba/Álava";"Resto de Europa";"2011";2949
"Araba/Álava";"Resto de Europa";"2012";2978
"Araba/Álava";"Resto de Europa";"2013";2700
"Araba/Álava";"Resto de Europa";"2014";2698
"Araba/Álava";"Resto de Europa";"2015";2642
"Araba/Álava";"Resto de Europa";"2016";2589
"Araba/Álava";"Resto de Europa";"2017";2456
"Araba/Álava";"Resto de Europa";"2018";2403
"Araba/Álava";"Resto de Europa";"2019";2531
"Araba/Álava";"Resto de Europa";"2020";2609
"Araba/Álava";"Resto de Europa";"2021";2582
"Araba/Álava";"Paises del Magreb";"2001";1083
"Araba/Álava";"Paises del Magreb";"2002";1509
"Araba/Álava";"Paises del Magreb";"2003";1994
"Araba/Álava";"Paises del Magreb";"2004";2696
"Araba/Álava";"Paises del Magreb";"2005";3140
"Araba/Álava";"Paises del Magreb";"2006";3718
"Araba/Álava";"Paises del Magreb";"2007";4368
"Araba/Álava";"Paises del Magreb";"2008";5131
"Araba/Álava";"Paises del Magreb";"2009";6320
"Araba/Álava";"Paises del Magreb";"2010";7418
"Araba/Álava";"Paises del Magreb";"2011";8197
"Araba/Álava";"Paises del Magreb";"2012";9103
"Araba/Álava";"Paises del Magreb";"2013";8606
"Araba/Álava";"Paises del Magreb";"2014";8598
"Araba/Álava";"Paises del Magreb";"2015";7976
"Araba/Álava";"Paises del Magreb";"2016";8112
"Araba/Álava";"Paises del Magreb";"2017";8459
"Araba/Álava";"Paises del Magreb";"2018";8383
"Araba/Álava";"Paises del Magreb";"2019";8836
"Araba/Álava";"Paises del Magreb";"2020";9230
"Araba/Álava";"Paises del Magreb";"2021";8960
"Araba/Álava";"Resto de Africa";"2001";235
"Araba/Álava";"Resto de Africa";"2002";351
"Araba/Álava";"Resto de Africa";"2003";449
"Araba/Álava";"Resto de Africa";"2004";611
"Araba/Álava";"Resto de Africa";"2005";805
"Araba/Álava";"Resto de Africa";"2006";908
"Araba/Álava";"Resto de Africa";"2007";1001
"Araba/Álava";"Resto de Africa";"2008";1214
"Araba/Álava";"Resto de Africa";"2009";1612
"Araba/Álava";"Resto de Africa";"2010";2006
"Araba/Álava";"Resto de Africa";"2011";2294
"Araba/Álava";"Resto de Africa";"2012";2755
"Araba/Álava";"Resto de Africa";"2013";2765
"Araba/Álava";"Resto de Africa";"2014";3073
"Araba/Álava";"Resto de Africa";"2015";3351
"Araba/Álava";"Resto de Africa";"2016";3498
"Araba/Álava";"Resto de Africa";"2017";3640
"Araba/Álava";"Resto de Africa";"2018";3749
"Araba/Álava";"Resto de Africa";"2019";3945
"Araba/Álava";"Resto de Africa";"2020";4032
"Araba/Álava";"Resto de Africa";"2021";3784
"Araba/Álava";"América del Sur";"2001";993
"Araba/Álava";"América del Sur";"2002";1866
"Araba/Álava";"América del Sur";"2003";2286
"Araba/Álava";"América del Sur";"2004";2999
"Araba/Álava";"América del Sur";"2005";4096
"Araba/Álava";"América del Sur";"2006";5102
"Araba/Álava";"América del Sur";"2007";6082
"Araba/Álava";"América del Sur";"2008";7434
"Araba/Álava";"América del Sur";"2009";8674
"Araba/Álava";"América del Sur";"2010";9235
"Araba/Álava";"América del Sur";"2011";9482
"Araba/Álava";"América del Sur";"2012";9565
"Araba/Álava";"América del Sur";"2013";9173
"Araba/Álava";"América del Sur";"2014";8353
"Araba/Álava";"América del Sur";"2015";6238
"Araba/Álava";"América del Sur";"2016";6093
"Araba/Álava";"América del Sur";"2017";6343
"Araba/Álava";"América del Sur";"2018";5791
"Araba/Álava";"América del Sur";"2019";6724
"Araba/Álava";"América del Sur";"2020";8085
"Araba/Álava";"América del Sur";"2021";8209
"Araba/Álava";"Resto de América";"2001";281
"Araba/Álava";"Resto de América";"2002";335
"Araba/Álava";"Resto de América";"2003";351
"Araba/Álava";"Resto de América";"2004";447
"Araba/Álava";"Resto de América";"2005";562
"Araba/Álava";"Resto de América";"2006";638
"Araba/Álava";"Resto de América";"2007";720
"Araba/Álava";"Resto de América";"2008";906
"Araba/Álava";"Resto de América";"2009";1094
"Araba/Álava";"Resto de América";"2010";1234
"Araba/Álava";"Resto de América";"2011";1356
"Araba/Álava";"Resto de América";"2012";1472
"Araba/Álava";"Resto de América";"2013";1578
"Araba/Álava";"Resto de América";"2014";1600
"Araba/Álava";"Resto de América";"2015";1423
"Araba/Álava";"Resto de América";"2016";1457
"Araba/Álava";"Resto de América";"2017";1440
"Araba/Álava";"Resto de América";"2018";1453
"Araba/Álava";"Resto de América";"2019";1674
"Araba/Álava";"Resto de América";"2020";1856
"Araba/Álava";"Resto de América";"2021";1853
"Araba/Álava";"Asia y Oceanía";"2001";270
"Araba/Álava";"Asia y Oceanía";"2002";306
"Araba/Álava";"Asia y Oceanía";"2003";310
"Araba/Álava";"Asia y Oceanía";"2004";446
"Araba/Álava";"Asia y Oceanía";"2005";727
"Araba/Álava";"Asia y Oceanía";"2006";942
"Araba/Álava";"Asia y Oceanía";"2007";1126
"Araba/Álava";"Asia y Oceanía";"2008";1352
"Araba/Álava";"Asia y Oceanía";"2009";1507
"Araba/Álava";"Asia y Oceanía";"2010";1570
"Araba/Álava";"Asia y Oceanía";"2011";2109
"Araba/Álava";"Asia y Oceanía";"2012";2636
"Araba/Álava";"Asia y Oceanía";"2013";2658
"Araba/Álava";"Asia y Oceanía";"2014";2577
"Araba/Álava";"Asia y Oceanía";"2015";2814
"Araba/Álava";"Asia y Oceanía";"2016";2686
"Araba/Álava";"Asia y Oceanía";"2017";2706
"Araba/Álava";"Asia y Oceanía";"2018";2751
"Araba/Álava";"Asia y Oceanía";"2019";2858
"Araba/Álava";"Asia y Oceanía";"2020";2911
"Araba/Álava";"Asia y Oceanía";"2021";2879
"Bizkaia";"Total";"2001";1122180
"Bizkaia";"Total";"2002";1120591
"Bizkaia";"Total";"2003";1119849
"Bizkaia";"Total";"2004";1119697
"Bizkaia";"Total";"2005";1122410
"Bizkaia";"Total";"2006";1127291
"Bizkaia";"Total";"2007";1137948
"Bizkaia";"Total";"2008";1144424
"Bizkaia";"Total";"2009";1151125
"Bizkaia";"Total";"2010";1151708
"Bizkaia";"Total";"2011";1152406
"Bizkaia";"Total";"2012";1154134
"Bizkaia";"Total";"2013";1150792
"Bizkaia";"Total";"2014";1144214
"Bizkaia";"Total";"2015";1141442
"Bizkaia";"Total";"2016";1138852
"Bizkaia";"Total";"2017";1139426
"Bizkaia";"Total";"2018";1140662
"Bizkaia";"Total";"2019";1142853
"Bizkaia";"Total";"2020";1149044
"Bizkaia";"Total";"2021";1144123
"Bizkaia";"España";"2001";1109590
"Bizkaia";"España";"2002";1103826
"Bizkaia";"España";"2003";1100966
"Bizkaia";"España";"2004";1094891
"Bizkaia";"España";"2005";1090855
"Bizkaia";"España";"2006";1088707
"Bizkaia";"España";"2007";1090511
"Bizkaia";"España";"2008";1086674
"Bizkaia";"España";"2009";1084551
"Bizkaia";"España";"2010";1080660
"Bizkaia";"España";"2011";1076434
"Bizkaia";"España";"2012";1074208
"Bizkaia";"España";"2013";1070749
"Bizkaia";"España";"2014";1068271
"Bizkaia";"España";"2015";1071931
"Bizkaia";"España";"2016";1067449
"Bizkaia";"España";"2017";1064131
"Bizkaia";"España";"2018";1067978
"Bizkaia";"España";"2019";1062384
"Bizkaia";"España";"2020";1057891
"Bizkaia";"España";"2021";1054100
"Bizkaia";"Europa del Este";"2001";586
"Bizkaia";"Europa del Este";"2002";814
"Bizkaia";"Europa del Este";"2003";1266
"Bizkaia";"Europa del Este";"2004";2306
"Bizkaia";"Europa del Este";"2005";3652
"Bizkaia";"Europa del Este";"2006";5058
"Bizkaia";"Europa del Este";"2007";6915
"Bizkaia";"Europa del Este";"2008";9186
"Bizkaia";"Europa del Este";"2009";10446
"Bizkaia";"Europa del Este";"2010";10838
"Bizkaia";"Europa del Este";"2011";11617
"Bizkaia";"Europa del Este";"2012";12522
"Bizkaia";"Europa del Este";"2013";12501
"Bizkaia";"Europa del Este";"2014";12282
"Bizkaia";"Europa del Este";"2015";12398
"Bizkaia";"Europa del Este";"2016";12665
"Bizkaia";"Europa del Este";"2017";12983
"Bizkaia";"Europa del Este";"2018";13329
"Bizkaia";"Europa del Este";"2019";13586
"Bizkaia";"Europa del Este";"2020";13876
"Bizkaia";"Europa del Este";"2021";13511
"Bizkaia";"Resto de Europa";"2001";4074
"Bizkaia";"Resto de Europa";"2002";4176
"Bizkaia";"Resto de Europa";"2003";3917
"Bizkaia";"Resto de Europa";"2004";4286
"Bizkaia";"Resto de Europa";"2005";4724
"Bizkaia";"Resto de Europa";"2006";4957
"Bizkaia";"Resto de Europa";"2007";5433
"Bizkaia";"Resto de Europa";"2008";6051
"Bizkaia";"Resto de Europa";"2009";6494
"Bizkaia";"Resto de Europa";"2010";6592
"Bizkaia";"Resto de Europa";"2011";6503
"Bizkaia";"Resto de Europa";"2012";6443
"Bizkaia";"Resto de Europa";"2013";6424
"Bizkaia";"Resto de Europa";"2014";6217
"Bizkaia";"Resto de Europa";"2015";5958
"Bizkaia";"Resto de Europa";"2016";5727
"Bizkaia";"Resto de Europa";"2017";5737
"Bizkaia";"Resto de Europa";"2018";5603
"Bizkaia";"Resto de Europa";"2019";5809
"Bizkaia";"Resto de Europa";"2020";6273
"Bizkaia";"Resto de Europa";"2021";6451
"Bizkaia";"Paises del Magreb";"2001";1183
"Bizkaia";"Paises del Magreb";"2002";1658
"Bizkaia";"Paises del Magreb";"2003";1689
"Bizkaia";"Paises del Magreb";"2004";2288
"Bizkaia";"Paises del Magreb";"2005";2856
"Bizkaia";"Paises del Magreb";"2006";3420
"Bizkaia";"Paises del Magreb";"2007";4096
"Bizkaia";"Paises del Magreb";"2008";5157
"Bizkaia";"Paises del Magreb";"2009";6644
"Bizkaia";"Paises del Magreb";"2010";7774
"Bizkaia";"Paises del Magreb";"2011";8902
"Bizkaia";"Paises del Magreb";"2012";10110
"Bizkaia";"Paises del Magreb";"2013";10245
"Bizkaia";"Paises del Magreb";"2014";9829
"Bizkaia";"Paises del Magreb";"2015";9583
"Bizkaia";"Paises del Magreb";"2016";10134
"Bizkaia";"Paises del Magreb";"2017";10651
"Bizkaia";"Paises del Magreb";"2018";10695
"Bizkaia";"Paises del Magreb";"2019";12067
"Bizkaia";"Paises del Magreb";"2020";13647
"Bizkaia";"Paises del Magreb";"2021";13673
"Bizkaia";"Resto de Africa";"2001";1232
"Bizkaia";"Resto de Africa";"2002";1470
"Bizkaia";"Resto de Africa";"2003";1485
"Bizkaia";"Resto de Africa";"2004";2035
"Bizkaia";"Resto de Africa";"2005";2402
"Bizkaia";"Resto de Africa";"2006";2819
"Bizkaia";"Resto de Africa";"2007";3363
"Bizkaia";"Resto de Africa";"2008";4244
"Bizkaia";"Resto de Africa";"2009";5291
"Bizkaia";"Resto de Africa";"2010";5992
"Bizkaia";"Resto de Africa";"2011";6755
"Bizkaia";"Resto de Africa";"2012";7584
"Bizkaia";"Resto de Africa";"2013";7760
"Bizkaia";"Resto de Africa";"2014";7545
"Bizkaia";"Resto de Africa";"2015";7620
"Bizkaia";"Resto de Africa";"2016";7996
"Bizkaia";"Resto de Africa";"2017";8318
"Bizkaia";"Resto de Africa";"2018";8072
"Bizkaia";"Resto de Africa";"2019";8479
"Bizkaia";"Resto de Africa";"2020";8996
"Bizkaia";"Resto de Africa";"2021";8482
"Bizkaia";"América del Sur";"2001";3152
"Bizkaia";"América del Sur";"2002";5970
"Bizkaia";"América del Sur";"2003";7989
"Bizkaia";"América del Sur";"2004";10862
"Bizkaia";"América del Sur";"2005";14310
"Bizkaia";"América del Sur";"2006";18235
"Bizkaia";"América del Sur";"2007";23152
"Bizkaia";"América del Sur";"2008";27701
"Bizkaia";"América del Sur";"2009";31178
"Bizkaia";"América del Sur";"2010";32508
"Bizkaia";"América del Sur";"2011";33627
"Bizkaia";"América del Sur";"2012";33435
"Bizkaia";"América del Sur";"2013";32750
"Bizkaia";"América del Sur";"2014";29705
"Bizkaia";"América del Sur";"2015";23456
"Bizkaia";"América del Sur";"2016";23417
"Bizkaia";"América del Sur";"2017";24701
"Bizkaia";"América del Sur";"2018";21178
"Bizkaia";"América del Sur";"2019";24221
"Bizkaia";"América del Sur";"2020";28667
"Bizkaia";"América del Sur";"2021";27955
"Bizkaia";"Resto de América";"2001";1333
"Bizkaia";"Resto de América";"2002";1431
"Bizkaia";"Resto de América";"2003";1354
"Bizkaia";"Resto de América";"2004";1515
"Bizkaia";"Resto de América";"2005";1700
"Bizkaia";"Resto de América";"2006";1859
"Bizkaia";"Resto de América";"2007";1958
"Bizkaia";"Resto de América";"2008";2411
"Bizkaia";"Resto de América";"2009";2851
"Bizkaia";"Resto de América";"2010";3156
"Bizkaia";"Resto de América";"2011";3727
"Bizkaia";"Resto de América";"2012";4250
"Bizkaia";"Resto de América";"2013";4784
"Bizkaia";"Resto de América";"2014";4919
"Bizkaia";"Resto de América";"2015";4969
"Bizkaia";"Resto de América";"2016";5591
"Bizkaia";"Resto de América";"2017";6606
"Bizkaia";"Resto de América";"2018";7283
"Bizkaia";"Resto de América";"2019";9424
"Bizkaia";"Resto de América";"2020";12153
"Bizkaia";"Resto de América";"2021";12545
"Bizkaia";"Asia y Oceanía";"2001";1030
"Bizkaia";"Asia y Oceanía";"2002";1246
"Bizkaia";"Asia y Oceanía";"2003";1183
"Bizkaia";"Asia y Oceanía";"2004";1514
"Bizkaia";"Asia y Oceanía";"2005";1911
"Bizkaia";"Asia y Oceanía";"2006";2236
"Bizkaia";"Asia y Oceanía";"2007";2520
"Bizkaia";"Asia y Oceanía";"2008";3000
"Bizkaia";"Asia y Oceanía";"2009";3670
"Bizkaia";"Asia y Oceanía";"2010";4188
"Bizkaia";"Asia y Oceanía";"2011";4841
"Bizkaia";"Asia y Oceanía";"2012";5582
"Bizkaia";"Asia y Oceanía";"2013";5579
"Bizkaia";"Asia y Oceanía";"2014";5446
"Bizkaia";"Asia y Oceanía";"2015";5527
"Bizkaia";"Asia y Oceanía";"2016";5873
"Bizkaia";"Asia y Oceanía";"2017";6299
"Bizkaia";"Asia y Oceanía";"2018";6524
