territorio histórico;CNAE009;unidad;periodo;Comercio exterior de la C.A. de Euskadi;CNA-09
Araba / Álava;Total;Miles de euros;1990;790750;Tot
Araba / Álava;Total;Miles de euros;1991;867552;Tot
Araba / Álava;Total;Miles de euros;1992;873508;Tot
Araba / Álava;Total;Miles de euros;1993;1005138;Tot
Araba / Álava;Total;Miles de euros;1994;1432243;Tot
Araba / Álava;Total;Miles de euros;1995;1592610;Tot
Araba / Álava;Total;Miles de euros;1996;1761923;Tot
Araba / Álava;Total;Miles de euros;1997;2801258;Tot
Araba / Álava;Total;Miles de euros;1998;3229478;Tot
Araba / Álava;Total;Miles de euros;1999;3239561;Tot
Araba / Álava;Total;Miles de euros;2000;3656585;Tot
Araba / Álava;Total;Miles de euros;2001;3412952;Tot
Araba / Álava;Total;Miles de euros;2002;3135785;Tot
Araba / Álava;Total;Miles de euros;2003;3126400;Tot
Araba / Álava;Total;Miles de euros;2004;3907010;Tot
Araba / Álava;Total;Miles de euros;2005;3960473;Tot
Araba / Álava;Total;Miles de euros;2006;4644956;Tot
Araba / Álava;Total;Miles de euros;2007;4959695;Tot
Araba / Álava;Total;Miles de euros;2008;5461845;Tot
Araba / Álava;Total;Miles de euros;2009;3590710;Tot
Araba / Álava;Total;Miles de euros;2010;4427242;Tot
Araba / Álava;Total;Miles de euros;2011;5345535;Tot
Araba / Álava;Total;Miles de euros;2012;5410611;Tot
Araba / Álava;Total;Miles de euros;2013;5302049;Tot
Araba / Álava;Total;Miles de euros;2014;5659368;Tot
Araba / Álava;Total;Miles de euros;2015;5825345;Tot
Araba / Álava;Total;Miles de euros;2016;6712980;Tot
Araba / Álava;Total;Miles de euros;2017;7193459;Tot
Araba / Álava;Total;Miles de euros;2018;7373273;Tot
Araba / Álava;011 Cultivos no perennes;Miles de euros;1990;189;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1991;257;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1992;865;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1993;879;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1994;1245;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1995;586;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1996;942;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1997;1346;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1998;1671;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1999;1339;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2000;1769;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2001;1438;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2002;3041;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2003;398;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2004;257;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2005;380;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2006;152;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2007;426;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2008;3329;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2009;74;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2010;1476;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2011;999;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2012;6057;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2013;418;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2014;883;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2015;1541;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2016;2381;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2017;616;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2018;1336;011
Araba / Álava;012 Cultivos perennes;Miles de euros;1990;87;012
Araba / Álava;012 Cultivos perennes;Miles de euros;1991;444;012
Araba / Álava;012 Cultivos perennes;Miles de euros;1992;260;012
Araba / Álava;012 Cultivos perennes;Miles de euros;1993;692;012
Araba / Álava;012 Cultivos perennes;Miles de euros;1994;906;012
Araba / Álava;012 Cultivos perennes;Miles de euros;1995;1792;012
Araba / Álava;012 Cultivos perennes;Miles de euros;1996;235;012
Araba / Álava;012 Cultivos perennes;Miles de euros;1997;435;012
Araba / Álava;012 Cultivos perennes;Miles de euros;1998;613;012
Araba / Álava;012 Cultivos perennes;Miles de euros;1999;596;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2000;302;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2001;195;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2002;441;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2003;252;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2004;447;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2005;865;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2006;253;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2007;423;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2008;1726;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2009;1024;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2010;3579;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2011;957;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2012;1131;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2013;4299;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2014;4454;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2015;5025;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2016;4812;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2017;1812;012
Araba / Álava;012 Cultivos perennes;Miles de euros;2018;933;012
Araba / Álava;013 Propagación de plantas;Miles de euros;1990;53;013
Araba / Álava;013 Propagación de plantas;Miles de euros;1991;61;013
Araba / Álava;013 Propagación de plantas;Miles de euros;1992;16;013
Araba / Álava;013 Propagación de plantas;Miles de euros;1993;6;013
Araba / Álava;013 Propagación de plantas;Miles de euros;1994;3;013
Araba / Álava;013 Propagación de plantas;Miles de euros;1995;59;013
Araba / Álava;013 Propagación de plantas;Miles de euros;1996;0;013
Araba / Álava;013 Propagación de plantas;Miles de euros;1997;0;013
Araba / Álava;013 Propagación de plantas;Miles de euros;1998;1487;013
Araba / Álava;013 Propagación de plantas;Miles de euros;1999;2001;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2000;2326;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2001;2955;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2002;4084;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2003;4868;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2004;21;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2005;0;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2006;0;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2007;2;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2008;41;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2009;22;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2010;114;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2011;12;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2012;22;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2013;15;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2014;9;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2015;3;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2016;23;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2017;52;013
Araba / Álava;013 Propagación de plantas;Miles de euros;2018;334;013
Araba / Álava;014 Producción ganadera;Miles de euros;1990;26;014
Araba / Álava;014 Producción ganadera;Miles de euros;1991;25;014
Araba / Álava;014 Producción ganadera;Miles de euros;1992;277;014
Araba / Álava;014 Producción ganadera;Miles de euros;1993;54;014
Araba / Álava;014 Producción ganadera;Miles de euros;1994;16;014
Araba / Álava;014 Producción ganadera;Miles de euros;1995;966;014
Araba / Álava;014 Producción ganadera;Miles de euros;1996;606;014
Araba / Álava;014 Producción ganadera;Miles de euros;1997;248;014
Araba / Álava;014 Producción ganadera;Miles de euros;1998;282;014
Araba / Álava;014 Producción ganadera;Miles de euros;1999;232;014
Araba / Álava;014 Producción ganadera;Miles de euros;2000;481;014
Araba / Álava;014 Producción ganadera;Miles de euros;2001;3;014
Araba / Álava;014 Producción ganadera;Miles de euros;2002;711;014
Araba / Álava;014 Producción ganadera;Miles de euros;2003;1698;014
Araba / Álava;014 Producción ganadera;Miles de euros;2004;1993;014
Araba / Álava;014 Producción ganadera;Miles de euros;2005;394;014
Araba / Álava;014 Producción ganadera;Miles de euros;2006;40;014
Araba / Álava;014 Producción ganadera;Miles de euros;2007;103;014
Araba / Álava;014 Producción ganadera;Miles de euros;2008;111;014
Araba / Álava;014 Producción ganadera;Miles de euros;2009;195;014
Araba / Álava;014 Producción ganadera;Miles de euros;2010;554;014
Araba / Álava;014 Producción ganadera;Miles de euros;2011;59;014
Araba / Álava;014 Producción ganadera;Miles de euros;2012;111;014
Araba / Álava;014 Producción ganadera;Miles de euros;2013;109;014
Araba / Álava;014 Producción ganadera;Miles de euros;2014;364;014
Araba / Álava;014 Producción ganadera;Miles de euros;2015;39;014
Araba / Álava;014 Producción ganadera;Miles de euros;2016;0;014
Araba / Álava;014 Producción ganadera;Miles de euros;2017;487;014
Araba / Álava;014 Producción ganadera;Miles de euros;2018;918;014
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;1990;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;1991;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;1992;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;1993;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;1994;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;1995;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;1996;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;1997;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;1998;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;1999;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2000;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2001;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2002;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2003;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2004;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2005;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2006;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2007;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2008;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2009;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2010;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2011;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2012;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2013;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2014;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2015;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2016;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2017;0;015
Araba / Álava;015 Producción agrícola combinada con la producción ganadera;Miles de euros;2018;0;015
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;1990;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;1991;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;1992;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;1993;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;1994;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;1995;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;1996;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;1997;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;1998;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;1999;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2000;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2001;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2002;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2003;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2004;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2005;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2006;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2007;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2008;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2009;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2010;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2011;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2012;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2013;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2014;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2015;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2016;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2017;0;016
Araba / Álava;016 Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha;Miles de euros;2018;0;016
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;1990;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;1991;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;1992;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;1993;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;1994;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;1995;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;1996;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;1997;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;1998;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;1999;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2000;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2001;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2002;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2003;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2004;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2005;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2006;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2007;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2008;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2009;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2010;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2011;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2012;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2013;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2014;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2015;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2016;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2017;0;017
Araba / Álava;017 Caza, captura de animales y servicios relacionados con las mismas;Miles de euros;2018;0;017
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;1990;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;1991;3;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;1992;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;1993;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;1994;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;1995;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;1996;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;1997;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;1998;1;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;1999;1;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2000;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2001;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2002;4;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2003;3;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2004;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2005;28;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2006;81;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2007;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2008;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2009;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2010;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2011;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2012;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2013;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2014;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2015;1;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2016;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2017;0;021
Araba / Álava;021 Silvicultura y otras actividades forestales;Miles de euros;2018;0;021
Araba / Álava;022 Explotación de la madera;Miles de euros;1990;2;022
Araba / Álava;022 Explotación de la madera;Miles de euros;1991;10;022
Araba / Álava;022 Explotación de la madera;Miles de euros;1992;1;022
Araba / Álava;022 Explotación de la madera;Miles de euros;1993;54;022
Araba / Álava;022 Explotación de la madera;Miles de euros;1994;5;022
Araba / Álava;022 Explotación de la madera;Miles de euros;1995;10;022
Araba / Álava;022 Explotación de la madera;Miles de euros;1996;747;022
Araba / Álava;022 Explotación de la madera;Miles de euros;1997;598;022
Araba / Álava;022 Explotación de la madera;Miles de euros;1998;6;022
Araba / Álava;022 Explotación de la madera;Miles de euros;1999;0;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2000;85;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2001;255;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2002;48;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2003;302;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2004;59;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2005;126;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2006;15;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2007;178;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2008;221;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2009;139;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2010;0;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2011;2;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2012;1;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2013;204;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2014;184;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2015;195;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2016;109;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2017;92;022
Araba / Álava;022 Explotación de la madera;Miles de euros;2018;8;022
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;1990;35;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;1991;40;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;1992;31;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;1993;0;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;1994;106;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;1995;39;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;1996;0;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;1997;0;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;1998;0;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;1999;0;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2000;0;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2001;7;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2002;2;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2003;6;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2004;2;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2005;11;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2006;29;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2007;0;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2008;0;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2009;118;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2010;0;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2011;0;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2012;0;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2013;4;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2014;326;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2015;99;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2016;169;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2017;415;023
Araba / Álava;023 Recolección de productos silvestres, excepto madera;Miles de euros;2018;0;023
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;1990;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;1991;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;1992;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;1993;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;1994;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;1995;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;1996;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;1997;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;1998;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;1999;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2000;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2001;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2002;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2003;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2004;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2005;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2006;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2007;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2008;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2009;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2010;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2011;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2012;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2013;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2014;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2015;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2016;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2017;0;024
Araba / Álava;024 Servicios de apoyo a la silvicultura;Miles de euros;2018;0;024
Araba / Álava;031 Pesca;Miles de euros;1990;2;031
Araba / Álava;031 Pesca;Miles de euros;1991;6;031
Araba / Álava;031 Pesca;Miles de euros;1992;10;031
Araba / Álava;031 Pesca;Miles de euros;1993;222;031
Araba / Álava;031 Pesca;Miles de euros;1994;687;031
Araba / Álava;031 Pesca;Miles de euros;1995;212;031
Araba / Álava;031 Pesca;Miles de euros;1996;1706;031
Araba / Álava;031 Pesca;Miles de euros;1997;316;031
Araba / Álava;031 Pesca;Miles de euros;1998;1260;031
Araba / Álava;031 Pesca;Miles de euros;1999;2174;031
Araba / Álava;031 Pesca;Miles de euros;2000;3113;031
Araba / Álava;031 Pesca;Miles de euros;2001;5853;031
